(260, 252),(161, 517)
(245, 247),(139, 513)
(265, 104),(174, 293)
(260, 254),(159, 519)
(270, 261),(175, 535)
(228, 197),(118, 432)
(237, 32),(140, 184)
(261, 212),(165, 457)
(216, 269),(98, 541)
(262, 22),(178, 168)
(228, 17),(132, 160)
(227, 226),(113, 474)
(255, 106),(161, 295)
(245, 188),(137, 417)
(229, 73),(126, 246)
(220, 30),(116, 179)
(244, 150),(143, 360)
(259, 14),(173, 157)
(230, 274),(116, 548)
(256, 218),(159, 467)
(263, 110),(174, 302)
(223, 188),(110, 418)
(239, 126),(137, 325)
(249, 173),(150, 398)
(240, 118),(140, 313)
(256, 282),(154, 563)
(267, 200),(174, 440)
(234, 5),(133, 143)
(216, 141),(101, 345)
(265, 4),(186, 140)
(242, 179),(139, 404)
(216, 1),(111, 137)
(268, 300),(172, 592)
(242, 249),(137, 513)
(242, 209),(137, 452)
(271, 4),(192, 143)
(263, 235),(167, 492)
(246, 3),(154, 141)
(269, 216),(176, 464)
(261, 94),(173, 278)
(236, 253),(123, 517)
(230, 219),(118, 466)
(270, 206),(179, 449)
(247, 29),(154, 180)
(250, 105),(153, 291)
(257, 139),(162, 344)
(238, 299),(126, 587)
(236, 242),(126, 500)
(230, 161),(121, 378)
(265, 52),(181, 213)
(262, 202),(167, 444)
(259, 221),(160, 471)
(245, 235),(137, 490)
(266, 277),(168, 553)
(245, 159),(142, 375)
(273, 139),(187, 345)
(227, 251),(111, 513)
(265, 203),(172, 444)
(266, 148),(177, 359)
(232, 110),(127, 300)
(267, 111),(178, 305)
(252, 154),(155, 368)
(246, 204),(144, 443)
(261, 38),(174, 192)
(244, 5),(154, 144)
(252, 111),(158, 301)
(269, 164),(181, 382)
(236, 14),(138, 156)
(258, 219),(160, 468)
(215, 50),(106, 210)
(264, 47),(182, 204)
(232, 249),(121, 511)
(229, 164),(119, 380)
(217, 138),(103, 338)
(223, 30),(119, 180)
